,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
BubbleSort,0.881,5.59,22.362,52.501,96.457,153.207,633.302,1439.24,2566.653,4280.44,5808.911,7926.596,10594.821
CountingSort,0.042,0.083,0.151,0.243,0.293,0.409,0.705,1.022,1.366,1.704,2.056,2.373,2.714
InsertionSort,0.422,3.394,11.853,25.426,46.231,73.134,320.622,672.393,1233.98,1928.004,2750.623,4122.462,5141.653
MergeSort,0.435,1.221,2.826,4.641,5.925,7.717,16.667,18.13,25.167,32.009,39.158,47.623,54.037
quickSort,0.151,0.449,1.052,1.825,2.746,3.308,8.25,14.645,22.115,31.441,42.624,54.961,67.664
