,trial_time,trial_time,trial_time,trial number,trial number,trial number
Size,250,500,1000,250,500,1000
Sort,,,,,,
BubbleSort,5.623737970987956,32.02970822652181,128.92762819925943,2000,2000,2000
CountingSort,0.09624163309733073,0.33863385518391925,0.35834312438964844,2000,2000,2000
insertionSort,2.801020940144857,13.193209966023764,74.56016540527344,2000,2000,2000
mergeSort,0.9600321451822916,2.5060176849365234,5.197604497273763,2000,2000,2000
quickSort,0.8155504862467448,2.072890599568685,5.439917246500651,2000,2000,2000
