,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
CountingSort,1226.899,1240.724,1237.396,1234.769,1238.962,1236.472,1245.225,1238.45,1244.397,1235.718,1246.712,1250.659,1246.193
insertionSort,0.021,0.057,0.229,0.31,0.347,0.296,0.85,1.061,1.394,1.594,1.918,2.006,2.703
mergeSort,0.338,0.805,2.589,3.357,3.711,4.691,10.648,17.247,23.622,31.207,38.185,40.456,44.99
