,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
BubbleSort,0.505,5.845,14.825,35.761,78.343,107.312,383.656,815.259,1445.503,2571.054,3586.216,6456.795,6832.813
insertionSort,0.021,0.047,0.105,0.271,0.254,0.4,0.584,0.833,1.113,1.392,1.676,1.953,2.235
