,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
BubbleSort,0.491,4.432,13.309,37.134,56.622,93.336,410.101,920.507,1572.21,2425.979,3544.172,4876.951,6428.474
CountingSort,1.386,1.482,1.548,1.44,1.488,1.566,1.937,2.375,2.657,3.062,3.4,3.788,4.159
insertionSort,0.02,0.047,0.112,0.274,0.222,0.307,0.575,0.874,1.192,1.46,1.76,2.055,2.512
mergeSort,0.283,1.025,1.62,2.741,3.432,4.371,9.409,14.712,20.465,26.467,31.956,39.188,43.731
