,100,250,500,750,1000,1250,2500,3750,5000
BubbleSort,1.356,6.169,22.308,55.143,98.718,159.742,622.605,1409.839,2654.999
CountingSort,0.041,0.082,0.149,0.218,0.326,0.355,0.689,1.019,1.36
InsertionSort,0.435,2.494,10.876,24.772,44.954,69.387,286.933,645.891,1154.799
MergeSort,0.293,0.825,1.913,3.031,4.05,5.212,11.435,18.098,24.732
quickSort,0.143,0.43,1.034,1.795,2.463,3.292,8.164,14.331,22.255
