,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
BubbleSort,1.032,5.972,22.389,55.423,107.043,163.976,653.221,1533.25,2564.674,4015.408,5792.516,7948.535,10953.016
CountingSort,0.042,0.083,0.149,0.216,0.314,0.382,0.699,1.017,1.354,1.69,2.029,2.366,2.704
InsertionSort,0.407,2.476,10.674,24.685,44.57,70.319,285.423,645.581,1148.569,1812.247,2599.589,3922.266,5100.655
MergeSort,0.301,0.854,1.939,3.13,4.212,5.453,11.854,19.375,25.859,32.791,40.535,47.711,56.363
quickSort,0.145,0.431,1.047,1.845,2.483,3.289,8.196,14.427,22.702,30.929,42.529,54.481,67.572
