,Sort,Size,trial_time,trial number
0,BubbleSort,250,0.005619049072265625,1
1,BubbleSort,250,0.005446910858154297,2
2,BubbleSort,250,0.005805253982543945,3
3,BubbleSort,500,0.033180952072143555,1
4,BubbleSort,500,0.031216144561767578,2
5,BubbleSort,500,0.0316920280456543,3
6,BubbleSort,1000,0.13849377632141113,1
7,BubbleSort,1000,0.11280989646911621,2
8,BubbleSort,1000,0.13547921180725098,3
9,CountingSort,250,0.000102996826171875,1
10,CountingSort,250,9.179115295410156e-05,2
11,CountingSort,250,9.393692016601562e-05,3
12,CountingSort,500,0.00017976760864257812,1
13,CountingSort,500,0.0004329681396484375,2
14,CountingSort,500,0.0004031658172607422,3
15,CountingSort,1000,0.0004341602325439453,1
16,CountingSort,1000,0.0003161430358886719,2
17,CountingSort,1000,0.0003247261047363281,3
18,insertionSort,250,0.002849102020263672,1
19,insertionSort,250,0.0025720596313476562,2
20,insertionSort,250,0.002981901168823242,3
21,insertionSort,500,0.010991811752319336,1
22,insertionSort,500,0.014798879623413086,2
23,insertionSort,500,0.013788938522338867,3
24,insertionSort,1000,0.08208084106445312,1
25,insertionSort,1000,0.07600283622741699,2
26,insertionSort,1000,0.0655968189239502,3
27,mergeSort,250,0.0009400844573974609,1
28,mergeSort,250,0.0009837150573730469,2
29,mergeSort,250,0.0009562969207763672,3
30,mergeSort,500,0.002131938934326172,1
31,mergeSort,500,0.002373218536376953,2
32,mergeSort,500,0.0030128955841064453,3
33,mergeSort,1000,0.0043599605560302734,1
34,mergeSort,1000,0.004704952239990234,2
35,mergeSort,1000,0.006527900695800781,3
36,quickSort,250,0.0009520053863525391,1
37,quickSort,250,0.0009658336639404297,2
38,quickSort,250,0.0005288124084472656,3
39,quickSort,500,0.0012259483337402344,1
40,quickSort,500,0.0022368431091308594,2
41,quickSort,500,0.002755880355834961,3
42,quickSort,1000,0.005094766616821289,1
43,quickSort,1000,0.005764007568359375,2
44,quickSort,1000,0.005460977554321289,3
