,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
MergeSort,0.303,0.859,2.074,3.467,4.178,5.36,12.899,19.356,26.123,33.823,44.509,50.543,58.603
quickSort,0.164,0.489,1.17,2.067,2.592,3.617,8.793,15.174,22.233,30.735,42.058,53.485,67.706
