,100,250,500,750,1000,1250,2500,3750,5000,6250,7500,8750,10000
BubbleSort,0.556,4.99,18.673,39.547,58.689,102.236,432.823,840.897,2020.745,3208.454,5956.92,5092.137,7196.234
CountingSort,0.044,0.085,0.196,0.356,0.317,0.413,0.695,1.028,1.538,1.725,2.178,2.456,2.716
InsertionSort,0.024,0.062,0.112,0.207,0.267,0.354,0.573,0.881,1.282,1.638,2.195,2.295,2.838
MergeSort,0.284,2.186,3.014,3.259,4.436,4.984,10.737,17.669,26.259,30.791,31.44,41.71,50.898
QuickSort,0.436,2.714,4.289,5.616,7.745,9.435,21.206,33.385,48.349,65.903,87.481,104.987,120.599
