,trial_time,trial_time,trial_time,trial_time,trial number,trial number,trial number,trial number
array sizes,250,1000,2500,5000,250,1000,2500,5000
Sort,,,,,,,,
BubbleSort,0.0077715635299682615,0.11465976238250733,0.7126833677291871,3.0012873649597167,5.5,5.5,5.5,5.5
CountingSort,0.00011098384857177734,0.0003085613250732422,0.0008651256561279297,0.001829075813293457,5.5,5.5,5.5,5.5
insertionSort,0.0030841827392578125,0.0492919921875,0.3065316200256348,1.3027447700500487,5.5,5.5,5.5,5.5
mergeSort,0.0010226249694824218,0.004533052444458008,0.012578010559082031,0.028421902656555177,5.5,5.5,5.5,5.5
quickSort,0.0005449771881103516,0.003278231620788574,0.011693596839904785,0.07547953128814697,5.5,5.5,5.5,5.5
