Sort,array sizes,trial_time,trial number
BubbleSort,100,0.0009081363677978516,5.5
BubbleSort,250,0.005248332023620605,5.5
BubbleSort,500,0.022798371315002442,5.5
BubbleSort,750,0.054717302322387695,5.5
BubbleSort,1000,0.09899311065673828,5.5
BubbleSort,1250,0.15692737102508544,5.5
BubbleSort,2500,0.6479308366775512,5.5
BubbleSort,3750,1.4635339021682738,5.5
BubbleSort,5000,2.601453685760498,5.5
BubbleSort,6250,4.072790098190308,5.5
BubbleSort,7500,5.899424600601196,5.5
BubbleSort,8750,7.998719525337219,5.5
BubbleSort,10000,10.65847361087799,5.5
CountingSort,100,6.070137023925781e-05,5.5
CountingSort,250,0.00013377666473388672,5.5
CountingSort,500,0.00021014213562011718,5.5
CountingSort,750,0.0002338409423828125,5.5
CountingSort,1000,0.00030982494354248047,5.5
CountingSort,1250,0.0003920078277587891,5.5
CountingSort,2500,0.0007953166961669922,5.5
CountingSort,3750,0.0011431455612182617,5.5
CountingSort,5000,0.0015059709548950195,5.5
CountingSort,6250,0.0018287897109985352,5.5
CountingSort,7500,0.0022345066070556642,5.5
CountingSort,8750,0.0025209903717041014,5.5
CountingSort,10000,0.0031076908111572266,5.5
insertionSort,100,0.0005655527114868164,5.5
insertionSort,250,0.0025453090667724608,5.5
insertionSort,500,0.011144590377807618,5.5
insertionSort,750,0.026117467880249025,5.5
insertionSort,1000,0.04800457954406738,5.5
insertionSort,1250,0.08328068256378174,5.5
insertionSort,2500,0.30341348648071287,5.5
insertionSort,3750,0.6838855981826782,5.5
insertionSort,5000,1.2161870002746582,5.5
insertionSort,6250,1.8981744766235351,5.5
insertionSort,7500,2.734324598312378,5.5
insertionSort,8750,3.7416279792785643,5.5
insertionSort,10000,4.888329815864563,5.5
mergeSort,100,0.000322723388671875,5.5
mergeSort,250,0.0008432388305664063,5.5
mergeSort,500,0.0018962621688842773,5.5
mergeSort,750,0.0031003713607788085,5.5
mergeSort,1000,0.004395246505737305,5.5
mergeSort,1250,0.006252551078796386,5.5
mergeSort,2500,0.012386631965637208,5.5
mergeSort,3750,0.019330286979675294,5.5
mergeSort,5000,0.031614375114440915,5.5
mergeSort,6250,0.03340423107147217,5.5
mergeSort,7500,0.04068493843078613,5.5
mergeSort,8750,0.048309731483459475,5.5
mergeSort,10000,0.05622191429138183,5.5
quickSort,100,0.00016963481903076172,5.5
quickSort,250,0.0004498004913330078,5.5
quickSort,500,0.0011522769927978516,5.5
quickSort,750,0.0019278526306152344,5.5
quickSort,1000,0.002962970733642578,5.5
quickSort,1250,0.00397334098815918,5.5
quickSort,2500,0.011626052856445312,5.5
quickSort,3750,0.020972251892089844,5.5
quickSort,5000,0.03298728466033936,5.5
quickSort,6250,0.05149476528167725,5.5
quickSort,7500,0.07352402210235595,5.5
quickSort,8750,0.09357674121856689,5.5
quickSort,10000,0.11278674602508545,5.5
