,Sort,array sizes,trial_time,trial number
0,BubbleSort,250,0.00552678108215332,1
1,BubbleSort,250,0.0100250244140625,2
2,BubbleSort,250,0.010519027709960938,3
3,BubbleSort,250,0.010132312774658203,4
4,BubbleSort,250,0.005570173263549805,5
5,BubbleSort,250,0.012244224548339844,6
6,BubbleSort,250,0.00639796257019043,7
7,BubbleSort,250,0.005538225173950195,8
8,BubbleSort,250,0.005522966384887695,9
9,BubbleSort,250,0.0062389373779296875,10
10,BubbleSort,1000,0.12344789505004883,1
11,BubbleSort,1000,0.12226605415344238,2
12,BubbleSort,1000,0.12034893035888672,3
13,BubbleSort,1000,0.11283206939697266,4
14,BubbleSort,1000,0.10846185684204102,5
15,BubbleSort,1000,0.1021580696105957,6
16,BubbleSort,1000,0.1255350112915039,7
17,BubbleSort,1000,0.11121582984924316,8
18,BubbleSort,1000,0.10839486122131348,9
19,BubbleSort,1000,0.11193704605102539,10
20,BubbleSort,2500,0.6832878589630127,1
21,BubbleSort,2500,0.704693078994751,2
22,BubbleSort,2500,0.6728510856628418,3
23,BubbleSort,2500,0.7736132144927979,4
24,BubbleSort,2500,0.7992997169494629,5
25,BubbleSort,2500,0.7258288860321045,6
26,BubbleSort,2500,0.6739437580108643,7
27,BubbleSort,2500,0.7398781776428223,8
28,BubbleSort,2500,0.7045109272003174,9
29,BubbleSort,2500,0.6489269733428955,10
30,BubbleSort,5000,3.4400980472564697,1
31,BubbleSort,5000,2.7449610233306885,2
32,BubbleSort,5000,2.751777172088623,3
33,BubbleSort,5000,2.9903769493103027,4
34,BubbleSort,5000,3.0549421310424805,5
35,BubbleSort,5000,3.194528102874756,6
36,BubbleSort,5000,2.9949419498443604,7
37,BubbleSort,5000,3.1718931198120117,8
38,BubbleSort,5000,2.8827672004699707,9
39,BubbleSort,5000,2.786587953567505,10
40,CountingSort,250,9.703636169433594e-05,1
41,CountingSort,250,8.416175842285156e-05,2
42,CountingSort,250,8.225440979003906e-05,3
43,CountingSort,250,8.225440979003906e-05,4
44,CountingSort,250,0.00015306472778320312,5
45,CountingSort,250,0.00016880035400390625,6
